,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2223,03/09/2012,10.17,10.55,9.95,10.55,1166.651014,12047.29363,10.32639023
2224,02/09/2012,10.07,10.18,9.49,10.18,1340.451822,13291.45689,9.915654315
2225,01/09/2012,10.2,10.2,9.85,9.91,665.2020458,6629.27029,9.965799611
2226,31/08/2012,10.65,10.8,9.69,10.16,2915.129257,30015.31234,10.29639158
2227,30/08/2012,10.81,10.91,10.51,10.65,1513.88397,16231.94495,10.72205352
2228,29/08/2012,11,11.05,10.49,10.78,4768.860111,51406.94695,10.77971376
2229,28/08/2012,10.9,11.21,10.63,11,2970.101213,32516.00898,10.94777809
2230,27/08/2012,10.31,11.93,10.31,10.78,4283.774476,47639.93857,11.12101929
2231,26/08/2012,10.57,10.62,10.2,10.31,1412.063545,14794.87807,10.47748745
2232,25/08/2012,10.45,10.58,10.14,10.57,581.2712284,6046.296726,10.40185103
2233,24/08/2012,10.03,10.51,9.83,10.37,4170.89274,42191.81915,10.11577659
2234,23/08/2012,9.96,10.19,9.78,10.02,2710.255412,27095.00128,9.997213237
2235,22/08/2012,9.99,10.71,9.75,9.96,8193.331295,84387.94757,10.29958933
2236,21/08/2012,9.79,10.51,9.53,10.18,3384.919443,34338.99975,10.14470221
2237,20/08/2012,8.09,10.33,7.86,10.05,3382.499653,30656.23609,9.063189723
2238,19/08/2012,11.86,11.86,7.1,8.06,5427.251526,48723.00052,8.977472352
2239,18/08/2012,12.64,12.99,11.11,11.54,2511.367218,29197.87221,11.62628548
2240,17/08/2012,13.49,16.41,11.5,12.5,4868.278865,69361.30686,14.24760347
2241,16/08/2012,13.14,13.5,12.75,13.42,1529.329074,20345.70071,13.30367745
2242,15/08/2012,12.13,13.2,12.13,13.01,1592.267794,19913.77848,12.50655107
2243,14/08/2012,11.9,12.3,11.81,12.25,1925.973149,23207.39139,12.04969623
2244,13/08/2012,11.42,11.98,11.4,11.89,3499.585971,40698.51593,11.62952311
2245,12/08/2012,11.4,11.69,11.34,11.49,838.4326301,9613.449105,11.46597682
